"year","treatment","observation_type","material","rate","units","equipment","date","crop"
1996,"T6","Fertilizer application","0-0-60 potash fertilizer",250,"pound","broadcast sprayer",1996-06-13,NA
1996,"T6","Fertilizer application","boron (B)",2,"pound","broadcast sprayer",1996-06-13,NA
1996,"T6","Fertilizer application","pelleted lime",1,"ton","broadcast sprayer",1996-06-14,NA
1996,"T3","Fertilizer application","Buctril Gel",0.5,"pint","unknown",1996-06-26,"Maize"
1996,"T1","Fertilizer application","ammonium nitrate (34-0-0)",350,"pound","Gandy Orbit-Air (15' boom)",1996-06-27,"Maize"
1996,"T2","Fertilizer application","ammonium nitrate (34-0-0)",353,"pound","Gandy Orbit-Air (15' boom)",1996-06-28,"Maize"
1996,"T3","Planting","crimson clover",15,"pound","Gandy Orbit-Air (15' boom)",1996-06-28,"Maize"
1996,"T4","Planting","crimson clover",15,"pound","Gandy Orbit-Air (15' boom)",1996-06-28,"Maize"
1996,"T1","Harvest","alfalfa",NA,"unknown","haybine",1996-07-01,"Maize"
1996,"T2","Harvest","alfalfa",NA,"unknown","haybine",1996-07-01,"Maize"
1996,"T6","Harvest","alfalfa",NA,"unknown","chopper? for chopping...",1996-07-02,NA
1996,"T6","Harvest","alfalfa",NA,"unknown","John Deere Haybine",1996-08-12,NA
1996,"T6","Harvest","alfalfa",NA,"unknown","baler",1996-08-14,NA
1996,"T6","Harvest",NA,NA,NA,"baler",1996-08-14,NA
